q,qer,theoreticKeyRate,n,N,L,frozenBitsAlgorithm,numInfoQudits,maxListSize,errorProb,keyRate,timeRate,numTrials
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,1,0.205,0.34671054703275295,0.00012134943750000016,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,2,0.075,0.31546054703275295,0.00015817723437500013,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,3,0.03,0.2971804688852168,0.00017656973437500027,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,4,0.025,0.28421054703275295,0.0001874588906250002,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,5,0.005,0.2741502940675229,0.00019806314062499996,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,6,0.01,0.2659304688852168,0.00021056776562499991,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,1,0.255,0.3962406251802891,0.00012185645312499993,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,2,0.14,0.3649906251802891,0.00015888946874999976,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,3,0.11,0.34671054703275295,0.00017830528125000023,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,4,0.05,0.3337406251802891,0.00019085893750000026,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,5,0.065,0.323680372215059,0.00020376837500000021,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,1,0.42,0.4457707033278252,0.00012252696874999968,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,2,0.315,0.4145207033278252,0.00015977626562500014,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,3,0.23,0.3962406251802891,0.00018289728125000016,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,4,0.13,0.3832707033278252,0.000208731875,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,5,0.115,0.37321045036259515,0.00022686087499999952,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,6,0.085,0.3649906251802891,0.00024744370312499987,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,7,0.135,0.3580408620135251,0.0002668394062500001,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,1,0.55,0.49530078147536133,0.00012149114062499966,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,2,0.34,0.46405078147536133,0.00018904203124999963,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,3,0.26,0.4457707033278252,0.0002455239218749994,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,4,0.165,0.43280078147536133,0.00027852939062500084,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,5,0.18,0.4227405285101313,0.0002907623593749997,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,9,1,0.03,0.24765039073768066,0.0001364642734374999,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,9,2,0.02,0.23202539073768066,0.00017561994531250014,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,9,3,0.0,0.2228853516639126,0.00019824260156249996,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,9,4,0.0,0.21640039073768066,0.00021286473437500007,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,10,1,0.05,0.27241542981144873,0.00013616488281250006,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,10,2,0.005,0.25679042981144873,0.00017388665625000022,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,10,3,0.005,0.24765039073768066,0.0002021401640624998,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,11,1,0.09,0.2971804688852168,0.00015230697656250014,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,11,2,0.04,0.2815554688852168,0.00017748642968750005,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,11,3,0.025,0.27241542981144873,0.00020132639062500014,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,11,4,0.015,0.2659304688852168,0.00021581296874999988,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,11,5,0.015,0.2609003424026018,0.00022999953125000028,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,12,1,0.13,0.32194550795898486,0.00013668946874999976,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,12,2,0.06,0.30632050795898486,0.00017596758593749985,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,12,3,0.02,0.29718046888521676,0.00020019267968749977,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,12,4,0.02,0.29069550795898486,0.00022637181250000028,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,13,1,0.195,0.34671054703275295,0.00013671050000000018,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,13,2,0.075,0.33108554703275295,0.0001793788828124998,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,13,3,0.04,0.32194550795898486,0.00022272759375000062,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,13,4,0.05,0.31546054703275295,0.0002326577421874998,200
